SurveyYear,Sex,Ethnicity,IDLast,Siblings,CollegeYear,Job,SleepHours,Nose,Ear,Hand,Height,StatsExperience,StatsEmotions_1,StatsEmotions_2,StatsEmotions_3,StatsEmotions_4,StatsEmotions_5,StatsEmotions_6,StatsEmotions_7,StatsEmotions_8,StatsEmotions_9,StatsEmotions_10,StatsBeliefs_1,StatsBeliefs_2,StatsBeliefs_3,StatsBeliefs_4
2024,Female,White,5,2,4,Not Working,8,52,66,151,66.5,No,A little,Somewhat,A little,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,A little,Very strongly,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2024,Female,Asian,1058,1,2,Part-time Job,8,55,66,146,65.5,Yes,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,A little,Not at all,A little,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
2024,Male,Asian,7549,5,4,Not Working,7,64,74,167,68.5,No,A little,A little,A little,Somewhat,Quite a bit,A little,Somewhat,Somewhat,A little,Very strongly,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
2024,Male,Asian,1,NA,3,Part-time Job,8,56,63,140,65,Yes,Somewhat,Somewhat,Somewhat,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,A little,Somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2024,Female,Asian,7,4,4,Not Working,6,58,72,160,66.5,Yes,Quite a bit,Quite a bit,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,A little,A little,A little,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
2024,Female,Other,7,1,2,Part-time Job,7,57,72,155,64,No,Quite a bit,Quite a bit,Somewhat,Quite a bit,Somewhat,Very strongly,Somewhat,A little,Not at all,Somewhat,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree
2024,Female,Black,1,0,2,Part-time Job,8,61,76,169,64.5,Yes,A little,Quite a bit,A little,Very strongly,A little,Somewhat,Not at all,A little,A little,Quite a bit,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree
2024,Female,White,9,1,2,Not Working,8,58,67,154,62,No,Very strongly,Very strongly,Quite a bit,Quite a bit,Somewhat,Quite a bit,Not at all,Somewhat,A little,Quite a bit,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
2024,Female,Asian,NA,2,4,Part-time Job,6,52,63,138,63,No,Quite a bit,Somewhat,Very strongly,A little,Quite a bit,A little,A little,Quite a bit,Not at all,Somewhat,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
2024,Female,White,9,3,3,Not Working,8,50,6.5,150,64,Yes,Somewhat,Very strongly,A little,Quite a bit,A little,Somewhat,Quite a bit,Somewhat,A little,A little,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree
2024,Female,Other,8,3,3,Part-time Job,5,56,102,150,68,No,Quite a bit,Somewhat,A little,Quite a bit,Somewhat,Quite a bit,A little,Not at all,Not at all,Quite a bit,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2024,Female,Other,9,1,2,Part-time Job,7,56,67,151,63,No,Somewhat,Quite a bit,Somewhat,A little,Quite a bit,A little,A little,A little,Not at all,Somewhat,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
2024,Male,Asian,NA,6,4,Not Working,10,61,75,164,69,No,Quite a bit,Quite a bit,Somewhat,A little,Very strongly,A little,Quite a bit,Somewhat,Somewhat,Very strongly,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
2024,Female,Asian,1339,3,2,Part-time Job,8,45,70,151,65,No,Very strongly,Quite a bit,Very strongly,Somewhat,Very strongly,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
2024,Female,Asian,2,2,2,Part-time Job,10,59,72,154,65.5,Yes,Quite a bit,Not at all,Somewhat,Not at all,Somewhat,A little,Not at all,Somewhat,Somewhat,Not at all,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree
2024,Male,Latino,5461,4,3,Part-time Job,7,64,76,166,68,Yes,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,A little,Somewhat,Quite a bit,A little,Somewhat,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
2024,Male,Latino,3,4,3,Not Working,10,57,66,152,69,Yes,A little,Somewhat,A little,Somewhat,Not at all,A little,Somewhat,Quite a bit,Not at all,Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
2026,Female,Latino,1,3,2,Not Working,7,4.5,6,160,59,No,Quite a bit,Quite a bit,Somewhat,Very strongly,Somewhat,Quite a bit,Not at all,A little,Not at all,A little,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2026,Male,Latino,3,2,2,Not Working,4,5,7,160,67,No,A little,Somewhat,A little,Quite a bit,A little,Somewhat,Not at all,Somewhat,Not at all,A little,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
2025,Female,Latino,5,0,4,Part-time Job,7,6.5,5,180,63,Yes,Very strongly,Somewhat,Very strongly,Somewhat,Quite a bit,A little,Somewhat,A little,Somewhat,Quite a bit,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree
2026,Female,Other,7,3,2,Part-time Job,7,52,60,180,68,Yes,A little,A little,A little,Not at all,A little,A little,A little,Quite a bit,Not at all,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
2026,Female,Asian,8,2,2,Not Working,7,60,66,155,60,No,Somewhat,Somewhat,A little,Somewhat,Quite a bit,Somewhat,Quite a bit,A little,A little,Quite a bit,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
2026,Female,White,9,0,2,Not Working,9,45,60,170,65,No,Somewhat,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,Somewhat,Somewhat,Not at all,A little,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2026,Female,White,0,1,2,Part-time Job,7,50,65,170,66,No,Quite a bit,Quite a bit,Quite a bit,Somewhat,A little,Somewhat,A little,Somewhat,A little,Somewhat,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
2026,Male,Asian,6,2,2,Part-time Job,6,7,8,160,67,Yes,A little,Somewhat,A little,Very strongly,A little,Very strongly,Somewhat,Quite a bit,Not at all,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2026,Female,White,4,2,2,Part-time Job,6,62,66,170,65,No,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,Quite a bit,Not at all,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2026,Female,Black,3863,2,3,Part-time Job,7,81.28,68.58,82,64,No,Quite a bit,Very strongly,Somewhat,Quite a bit,Quite a bit,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
2026,Female,Latino,10378088,2,2,Part-time Job,6,7,6.5,165,63,Yes,Very strongly,Somewhat,Very strongly,Somewhat,Very strongly,Somewhat,Somewhat,Quite a bit,Not at all,A little,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
2029,Female,White,6457,4,2,Not Working,8,45,70,190,72,No,Quite a bit,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,A little,Somewhat,Not at all,A little,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2026,Female,Asian,1,1,4,Part-time Job,6,60,70,130,63,No,A little,Somewhat,A little,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Not at all,A little,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree
2026,Male,Asian,7,1,2,Part-time Job,7,6.75,7,160,65,No,Very strongly,Somewhat,Very strongly,A little,Quite a bit,Somewhat,Quite a bit,Somewhat,Not at all,A little,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
2026,Female,Asian,0,1,2,Part-time Job,8,55,70,170,62,No,Quite a bit,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,A little,A little,Not at all,Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2026,Female,Black,3,2,2,Not Working,7,60.96,86.36,182,63,Yes,Quite a bit,A little,Somewhat,A little,Not at all,Somewhat,Somewhat,Quite a bit,Not at all,A little,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
2026,Female,Black,4,2,2,Not Working,7,45,50,160,62,No,Quite a bit,Quite a bit,Quite a bit,Very strongly,Somewhat,Very strongly,Not at all,Quite a bit,Not at all,A little,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
2026,Male,White,3,2,2,Not Working,6,58.62,78.74,198.12,69,No,Somewhat,Somewhat,Quite a bit,A little,Quite a bit,A little,Somewhat,Somewhat,A little,Quite a bit,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
2026,Female,Asian,10376556,1,2,Part-time Job,8,40,69,182,63.5,Yes,Somewhat,Quite a bit,A little,Somewhat,Somewhat,Somewhat,A little,Quite a bit,Not at all,Not at all,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree
2026,Female,Asian,4,2,2,Part-time Job,7,39,63,178,61,Yes,A little,A little,A little,A little,A little,Quite a bit,Quite a bit,Quite a bit,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2029,Female,Other,7,1,2,Part-time Job,7,49,52,180,63,Yes,A little,Very strongly,A little,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
2026,Female,White,6,1,2,Part-time Job,8,42,58,179,67,No,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,A little,Somewhat,Not at all,Very strongly,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2026,Male,White,1,1,2,Part-time Job,8,15,40,180,70,Yes,Somewhat,Quite a bit,A little,Quite a bit,Somewhat,Very strongly,Not at all,Not at all,A little,Not at all,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2026,Female,Latino,5,2,7,Not Working,8,59,70,185,63,Yes,A little,Somewhat,Not at all,Somewhat,Somewhat,Not at all,A little,Very strongly,Not at all,A little,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2026,Male,Asian,9,2,2,Part-time Job,9,50,60,190,73,Yes,Somewhat,Quite a bit,A little,Somewhat,Somewhat,A little,Somewhat,Quite a bit,Not at all,A little,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
2026,Female,Middle Eastern,1,2,3,Not Working,3,55,60,170,60,Yes,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,A little,Not at all,A little,Not at all,Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
